Date,Start,Peak,End,Flare_Class,is_significant
31777810102,0441,0446,0444,C18,0
31777810102,0955,1004,1000,C18,0
31777810103,1025,1036,1030,C51,0
31777810103,1549,1558,1553,C22,0
31777810103,1837,1845,1842,C22,0
31777810103,2024,2039,2027,C19,0
31777810104,0105,0113,0109,C13,0
31777810104,0143,0148,0146,C19,0
31777810104,0920,0930,0924,C23,0
31777810104,1830,1838,1833,C20,0
31777810104,2055,2105,2058,C20,0
31777810105,0838,0922,0912,C34,0
31777810105,1115,1121,1118,C18,0
31777810105,1611,1648,1641,M39,1
31777810105,1926,1931,1929,C20,0
31777810105,2000,2053,2020,C72,0
31777810105,2136,2147,2141,C41,0
31777810106,0001,0010,0005,C22,0
31777810106,0424,0503,0442,C54,0
31777810106,1111,1124,1114,C22,0
31777810106,2120,2145,2133,C27,0
31777810107,0230,0304,0246,C25,0
31777810107,0741,0746,0744,C21,0
31777810107,1923,1957,1932,C35,0
31777810108,0141,0242,0238,M11,1
31777810108,1600,1610,1605,C19,0
31777810109,0548,0849,0833,C21,0
31777810109,1051,1103,1054,C20,0
31777810109,1815,1829,1819,C11,0
31777810109,2100,2117,2107,C13,0
31777810110,1341,1422,1344,C19,0
31777810110,1537,1542,1540,C19,0
31777810111,0243,0251,0246,C21,0
31777810111,1031,1048,1035,C18,0
31777810112,1518,1524,1521,C07,0
31777810112,2145,2317,2219,C08,0
31777810113,0248,0258,0253,C23,0
31777810113,1056,1107,1101,C12,0
31777810114,1230,1235,1233,C21,0
31777810116,0153,0213,0202,C34,0
31777810116,0538,0606,0546,C20,0
31777810116,0607,0611,0608,C13,0
31777810116,0715,0728,0721,C35,0
31777810116,0833,0841,0837,C13,0
31777810116,1311,1318,1315,C09,0
31777810116,2255,2303,2258,C08,0
31777810116,2325,2334,2329,C10,0
31777810117,0305,0315,0311,C12,0
31777810117,1008,1033,1019,C14,0
31777810118,0053,0058,0056,C18,0
31777810118,0411,0432,0422,C23,0
31777810118,1235,1256,1245,C10,0
31777810119,0615,0653,0632,C12,0
31777810119,0730,0750,0739,C24,0
31777810119,1302,1340,1314,C12,0
31777810120,0709,0718,0713,C10,0
31777810120,1625,1640,1630,C13,0
31777810121,0140,0157,0147,C11,0
31777810124,0706,0757,0723,C34,0
31777810124,2109,2121,2115,C15,0
31777810125,0107,0131,0123,C54,0
31777810125,0210,0232,0222,M24,1
31777810125,0325,0331,0328,C20,0
31777810125,0501,0513,0504,C23,0
31777810125,0518,0704,0628,M59,1
31777810125,0743,0801,0747,X21,1
31777810125,0829,0842,0833,M25,1
31777810125,0846,0954,0908,M90,1
31777810125,1132,1142,1135,M11,1
31777810125,1344,1358,1351,C91,0
31777810125,1933,1944,1937,C65,0
31777810125,1958,2007,2001,C32,0
31777810125,2038,2052,2047,C99,0
31777810125,2052,2103,2055,M13,1
31777810125,2114,2124,2121,C58,0
31777810125,2243,2303,2249,M14,1
31777810125,2321,2338,2324,C87,0
31777810126,0409,0428,0412,M16,1
31777810126,1012,1021,1015,M10,1
31777810126,1028,1049,1034,M10,1
31777810126,1124,1134,1128,M10,1
31777810126,1232,1259,1241,M14,1
31777810126,1320,1326,1323,C37,0
31777810126,1439,1451,1445,C57,0
31777810126,2242,2253,2247,C57,0
31777810127,0029,0036,0033,C27,0
31777810127,0119,0133,0127,C61,0
31777810127,0359,0409,0404,C44,0
31777810127,0532,0543,0536,M16,1
31777810127,0717,0727,0722,C22,0
31777810127,0953,1003,0956,C20,0
31777810127,1036,1046,1039,C20,0
31777810127,2026,2033,2029,C57,0
31777810128,0831,0839,0834,C23,0
31777810128,1029,1036,1033,C33,0
31777810128,1048,1108,1055,C33,0
31777810128,1406,1421,1417,C30,0
31777810128,2023,2038,2032,C37,0
31777810129,1249,1258,1254,C26,0
31777810129,1324,1335,1330,C29,0
31777810129,1341,1356,1346,C50,0
31777810129,1706,1722,1712,C24,0
31777810129,1828,1842,1832,C18,0
31777810129,1914,1920,1918,C34,0
31777810129,2328,2336,2331,C23,0
31777810130,0403,0408,0406,C20,0
31777810130,1119,1125,1122,C18,0
31777810130,1931,1936,1934,C18,0
31777810131,1028,1034,1032,C23,0
31777810131,1130,1140,1135,M21,1
31777810131,1236,1249,1242,C74,0
31777810131,1612,1622,1615,C18,0
31777810131,1803,1810,1806,C20,0
31777810203,0425,0450,0429,C23,0
31777810203,1012,1039,1025,C18,0
31777810203,1111,1126,1117,C38,0
31777810203,1437,1452,1442,C37,0
31777810203,1801,1900,1825,M10,1
31777810204,1622,1636,1628,C24,0
31777810204,2356,2420,2407,C89,0
31777810205,0914,0929,0920,C27,0
31777810205,1038,1110,1059,C45,0
31777810206,0310,0325,0320,C29,0
31777810206,0413,0421,0418,C23,0
31777810206,0548,0615,0612,C24,0
31777810206,0748,0800,0751,C20,0
31777810206,1035,1109,1103,C30,0
31777810206,1620,1635,1629,C45,0
31777810206,1715,1721,1718,C18,0
31777810206,1750,1822,1757,C38,0
31777810206,2122,2137,2127,M22,1
31777810206,2336,2346,2341,C35,0
31777810207,0833,0846,0839,C21,0
31777810207,1049,1100,1058,C23,0
31777810207,1341,1346,1344,M23,1
31777810207,1544,1555,1553,C33,0
31777810207,1754,1808,1801,C58,0
31777810207,2053,2107,2100,C94,0
31777810208,0420,0425,0423,C74,0
31777810208,0833,0839,0837,C42,0
31777810208,1038,1049,1042,C51,0
31777810208,1804,1826,1812,C91,0
31777810208,2120,2125,2123,C23,0
31777810208,2148,2154,2151,C19,0
31777810209,0028,0033,0031,C18,0
31777810209,0235,0242,0239,C32,0
31777810209,1647,1657,1651,C39,0
31777810210,0136,0148,0141,C42,0
31777810210,0201,0207,0205,C79,0
31777810210,0250,0257,0254,C30,0
31777810210,0437,0443,0440,C37,0
31777810210,1138,1149,1142,C31,0
31777810210,1331,1337,1334,C29,0
31777810210,1946,2004,1952,C33,0
31777810211,0119,0144,0132,C86,0
31777810211,0350,0431,0421,C59,0
31777810211,0747,0810,0803,C29,0
31777810211,0840,0849,0844,C24,0
31777810211,1258,1309,1302,C24,0
31777810211,1610,1730,1625,C44,0
31777810211,1747,1758,1754,C26,0
31777810211,2001,2011,2004,C25,0
31777810211,2100,2112,2108,C25,0
31777810211,2143,2217,2151,C53,0
31777810211,2254,2304,2258,M13,1
31777810212,0046,0053,0050,C24,0
31777810212,0903,0928,0920,C32,0
31777810212,0946,1043,1004,C75,0
31777810212,1047,1052,1050,C96,0
31777810212,1239,1250,1244,M19,1
31777810212,1729,1738,1734,C35,0
31777810212,1808,1818,1812,C23,0
31777810212,1959,2012,2004,C35,0
31777810212,2106,2111,2109,C19,0
31777810213,0307,0316,0311,C29,0
31777810213,0408,0426,0418,M12,1
31777810213,0549,0605,0553,C18,0
31777810213,0847,0853,0850,C24,0
31777810213,1124,1131,1128,C21,0
31777810213,1206,1215,1211,C37,0
31777810213,1232,1259,1240,C38,0
31777810213,1405,1423,1409,C69,0
31777810213,1526,1539,1530,C21,0
31777810213,1649,1657,1652,C26,0
31777810213,1700,1710,1706,C25,0
31777810213,1909,1914,1912,C25,0
31777810213,2157,2230,2221,C41,0
31777810214,0542,0620,0605,C23,0
31777810214,1816,1834,1824,C47,0
31777810214,1919,1924,1922,C19,0
31777810214,1951,2004,1958,C21,0
31777810215,0048,0102,0054,C41,0
31777810215,0243,0254,0247,C24,0
31777810215,0710,0715,0713,C18,0
31777810215,1515,1521,1518,C18,0
31777810215,1638,1645,1641,C19,0
31777810215,1737,1848,1811,C29,0
31777810215,1852,1920,1905,M10,1
31777810216,1213,1229,1217,C36,0
31777810216,1429,1442,1432,C21,0
31777810217,0213,0218,0216,C20,0
31777810217,0601,0614,0607,C33,0
31777810217,1056,1118,1059,C18,0
31777810217,1319,1342,1333,C63,0
31777810218,1102,1134,1110,C49,0
31777810218,1332,1341,1335,C25,0
31777810218,1352,1416,1358,C73,0
31777810219,1045,1109,1052,M20,1
31777810219,1419,1429,1422,C24,0
31777810219,1756,1822,1808,C18,0
31777810219,1950,1955,1953,C27,0
31777810220,2006,2059,2017,C65,0
31777810220,2100,2204,2138,C64,0
31777810221,1032,1040,1035,C31,0
31777810221,1249,1256,1253,C24,0
31777810222,0708,0715,0712,C31,0
31777810222,1155,1207,1200,C25,0
31777810222,1531,1620,1557,C41,0
31777810222,1858,1922,1911,C37,0
31777810223,0547,0619,0554,M44,1
31777810223,0655,0708,0700,M15,1
31777810223,1053,1104,1058,C70,0
31777810223,1127,1133,1130,C51,0
31777810223,1323,1336,1328,C68,0
31777810224,0631,0653,0642,C74,0
31777810224,1047,1135,1105,M10,1
31777810224,1202,1304,1226,X23,1
31777810225,0202,0212,0205,C78,0
31777810225,0804,0809,0807,C25,0
31777810225,0938,0956,0949,C31,0
31777810225,1113,1129,1122,C35,0
31777810225,1249,1254,1251,C22,0
31777810225,1325,1333,1329,C23,0
31777810225,1401,1404,1402,C24,0
31777810225,1937,1946,1941,C28,0
31777810225,2356,2409,2401,C22,0
31777810226,0922,1105,0940,C20,0
31777810226,1311,1317,1314,C36,0
31777810226,1638,1657,1645,C35,0
31777810226,1816,1822,1820,C32,0
31777810227,0539,0554,0545,C33,0
