flarenumber,start_time,end_time,peak_time,region,class,intensity,observatory,extra,date
31777810102,441,446,444,,C,18,GOES,,1/2/1981
31777810102,955,1004,1000,,C,18,GOES,,1/2/1981
31777810103,1025,1036,1030,,C,51,GOES,,1/3/1981
31777810103,1549,1558,1553,,C,22,GOES,2857,1/3/1981
31777810103,1837,1845,1842,,C,22,GOES,,1/3/1981
31777810103,2024,2039,2027,,C,19,GOES,,1/3/1981
31777810103,2159,2210,2202,S05W671N,C,12,GOES,2857 801230.0      ,1/3/1981
31777810103,2227,2241,2232,N14W78SN,C,20,GOES,2866 801229.1      ,1/3/1981
31777810104,105,113,109,,C,13,GOES,,1/4/1981
31777810104,143,148,146,,C,19,GOES,,1/4/1981
31777810104,920,930,924,,C,23,GOES,,1/4/1981
31777810104,1651,1709,1657,N11W86SN,C,22,GOES,2872 801229.3      ,1/4/1981
31777810104,1830,1838,1833,,C,20,GOES,,1/4/1981
31777810104,2055,2105,2058,,C,20,GOES,,1/4/1981
31777810105,838,922,912,,C,34,GOES,,1/5/1981
31777810105,1115,1121,1118,,C,18,GOES,,1/5/1981
31777810105,1358,1411,1400,S14E47SN,C,18,GOES,2875 8101 9.1      ,1/5/1981
31777810105,1611,1648,1641,,M,39,GOES,,1/5/1981
31777810105,1926,1931,1929,,C,20,GOES,,1/5/1981
31777810105,2000,2053,2020,,C,72,GOES,,1/5/1981
31777810105,2136,2147,2141,,C,41,GOES,,1/5/1981
31777810106,1,10,5,,C,22,GOES,,1/6/1981
31777810106,424,503,442,,C,54,GOES,,1/6/1981
31777810106,731,755,733,S16E38SN,C,27,GOES,2875 8101 9.2      ,1/6/1981
31777810106,1111,1124,1114,,C,22,GOES,,1/6/1981
31777810106,1203,1237,1205,S15E34SN,C,62,GOES,2875 8101 9.1      ,1/6/1981
31777810106,2120,2145,2133,,C,27,GOES,2875,1/6/1981
31777810107,230,304,246,,C,25,GOES,,1/7/1981
31777810107,741,746,744,,C,21,GOES,,1/7/1981
31777810107,1242,1340,1245,N09W54SN,C,62,GOES,2868 8101 3.5      ,1/7/1981
31777810107,1652,1712,1658,S14W04SN,C,44,GOES,2874 8101 7.4      ,1/7/1981
31777810107,1923,1957,1932,,C,35,GOES,2874,1/7/1981
31777810108,141,242,238,,M,11,GOES,,1/8/1981
31777810108,1227,1316,1227,N06E501N,C,50,GOES,2880 810112.3      ,1/8/1981
31777810108,1600,1610,1605,,C,19,GOES,,1/8/1981
31777810109,548,849,833,,C,21,GOES,,1/9/1981
31777810109,952,1013,954,S16W25SN,C,40,GOES,2874 8101 7.5      ,1/9/1981
31777810109,1051,1103,1054,,C,20,GOES,,1/9/1981
31777810109,1815,1829,1819,,C,11,GOES,,1/9/1981
31777810109,2100,2117,2107,,C,13,GOES,,1/9/1981
31777810109,2113,2223,2135,S18W452N,C,18,GOES,8101 6.4      ,1/9/1981
31777810110,25,49,33,N08E38SN,C,11,GOES,2883 810112.9      ,1/10/1981
31777810110,501,530,501,N05E46SN,C,70,GOES,2882 810113.6      ,1/10/1981
31777810110,1341,1422,1344,,C,19,GOES,,1/10/1981
31777810110,1441,1453,1443,S16W42SN,C,22,GOES,2874 8101 7.4      ,1/10/1981
31777810110,1537,1542,1540,,C,19,GOES,,1/10/1981
31777810110,2055,2115,2057,S12W491N,C,25,GOES,2874 8101 7.2      ,1/10/1981
31777810111,107,131,114,S14W491N,C,23,GOES,2874 8101 7.3      ,1/11/1981
31777810111,243,251,246,,C,21,GOES,,1/11/1981
31777810111,1031,1048,1035,,C,18,GOES,,1/11/1981
31777810112,519,536,522,N05E21SN,C,12,GOES,2882 810113.8      ,1/12/1981
